osaa_school_id	school_name
100	Crook County High School
101	Oakridge High School
102	Spray High School
103	Clatskanie High School
104	Knappa High School
105	Powder Valley High School
106	Culver High School
107	Prairie City High School
108	Oregon Episcopal School
109	Long Creek High School
11	Cove Charter School
110	Rainier Jr/Sr High School
111	West Linn High School
112	Damascus Christian High School
113	Elmira High School
114	Union High School
115	Mazama High School
116	Klamath Union High School
117	Warrenton High School
118	Rogue River High School
119	Portland Adventist Academy
12	Corvallis High School
121	Cascade High School
122	Scio High School
123	Pendleton High School
124	Pilot Rock High School
125	Sherwood High School
126	Centennial High School
127	Sprague High School
128	South Salem High School
129	McKay High School
13	Crescent Valley High School
130	North Salem High School
131	McNary High School
132	North Bend High School
133	Central Linn High School
134	South Wasco County High School
135	Sisters High School
136	Nyssa High School
137	Days Creek Charter School
138	North Douglas High School
139	Silverton High School
140	Willamina High School
141	Delphian School
142	Central Christian High School
144	Cleveland High School
145	Benson High School
146	Ida B. Wells High School
149	Roosevelt High School
15	Jewell High School
150	Lincoln High School
151	McDaniel High School
152	Grant High School
153	Franklin High School
154	Eagle Point High School
155	Central High School
156	St. Helens High School
157	Gaston High School
158	Gervais High School
159	Brookings-Harbor High School
16	East Linn Christian
162	Grant Union High School
163	Crow High School
164	Harrisburg High School
165	South Umpqua High School
167	Yoncalla High School
168	Country Christian High School
17	Baker High School
170	Jefferson High School
171	Jordan Valley High School
172	South Albany High School
173	West Albany High School
174	Glide High School
175	Kennedy High School
176	Gold Beach High School
177	Philomath High School
178	Phoenix High School
179	Harper Charter School
18	Bandon High School
180	Dayville High School
181	Lakeview High School
183	Pleasant Hill High School
184	Imbler High School
185	Sweet Home High School
186	Madras High School
188	Tillamook High School
189	Umpqua Valley Christian High School
19	Elgin High School
190	Vale High School
191	Vernonia High School
192	Wallowa High School
194	Westside Christian High School
195	Willamette Valley Christian High School
196	Horizon Christian School
197	Lost River High School
198	Chiloquin High School
199	Condon High School
2	Sherman High School
20	St. Paul High School
200	Alsea High School
202	Dallas High School
204	Crater High School
205	Tualatin High School
207	Nestucca High School
208	Prospect Charter School
209	Banks High School
21	Weston-McEwen High School
210	Wilsonville High School
211	Arlington Community Charter School
212	Portland Christian High School
213	Pine Eagle High School
214	Junction City High School
215	Creswell High School
216	Oregon School for the Deaf
218	Powers High School
22	Riddle High School
220	Dufur High School
221	Myrtle Point High School
222	Ashland High School
223	Bonanza High School
224	Grants Pass High School
225	Catlin Gabel School
226	Central Catholic High School
227	Churchill High School
228	Toledo High School
229	Colton High School
23	Mannahouse Christian Academy
230	Coquille High School
231	Corbett High School
232	Cottage Grove High School
233	David Douglas High School
234	Echo High School
236	Enterprise High School
237	Gilchrist High School
238	Gladstone High School
239	Glencoe High School
24	McMinnville High School
240	Glendale High School
241	Griswold High School
242	Stanfield Secondary School
243	Huntington High School
244	Woodburn High School
245	Henley High School
246	Hillsboro High School
247	Jesuit High School
248	La Grande High School
249	La Salle Catholic College Preparatory
25	North Lake High School
250	Lebanon High School
251	Marist Catholic High School
252	McLoughlin High School
253	Molalla High School
254	Monroe High School
255	Neah-Kah-Nie High School
256	Newport High School
257	North Eugene High School
258	Oakland High School
259	Paisley Charter School
26	Estacada High School
260	Redmond High School
261	Regis High School
262	Salem Academy
263	Sheldon High School
264	Sheridan High School
265	Springfield High School
266	St. Mary's Academy
268	Taft High School
269	Thurston High School
27	Tigard High School
270	Valley Catholic High School
271	Waldport High School
272	Wheeler High School
273	Blanchet Catholic School
277	Riverdale High School
279	Century High School
28	Elkton Charter School
287	C.S. Lewis Academy
29	Gresham High School
3	Douglas High School
30	Barlow High School
31	Siuslaw High School
32	Mitchell High School
321	Faith Bible High School
326	Southridge High School
33	North Valley High School
330	Ukiah High School
337	Jefferson High School, Portland
338	Life Christian School
339	Southwest Christian High School
34	Hidden Valley High School
344	Willamette High School
347	Adrian High School
349	St. Mary's School
35	Illinois Valley High School
356	Portland Waldorf School
36	Amity High School
363	Livingstone Adventist Academy
366	Open Door Christian Academy
368	Summit High School
37	Lake Oswego High School
370	De La Salle North Catholic High School
372	West Salem High School
376	Veritas School
38	Lakeridge High School
387	Liberty High School
39	Mohawk High School
398	Eddyville Charter School
4	Newberg High School
40	Santiam High School
404	Irrigon High School
405	Nixyaawii Community School
408	Rogue Valley Adventist Academy
409	The Dalles High School
41	Lowell High School
416	Cascades Academy
417	Horizon Christian High School
419	Siletz Valley School
42	Stayton High School
425	Grand View Christian Academy
430	Milwaukie Academy of the Arts
432	Trinity Lutheran High School
435	St. Stephen's Academy
44	Mapleton High School
441	Crosshill Christian School
450	Kings Valley Charter School
453	Trinity Academy
46	Bend Senior High School
47	La Pine High School
48	Mountain View High School
49	Reedsport Community Charter School
5	Chemawa Indian School
50	South Medford High School
51	North Medford High School
52	Reynolds High School
522	Ridgeview High School
53	Astoria High School
54	Dayton High School
55	Sandy High School
563	Four Rivers Senior Preparatory
564	Valor Christian School International
57	North Marion High School
570	Mountainside High School
583	Western Christian School
59	Burns High School
597	Paideia Classical Christian School
6	Clackamas High School
60	Heppner High School
601	Trout Lake High School
602	Lyle High School
603	Wishram High School
604	Glenwood High School
606	Klickitat High School
61	Riverside High School
610	Crosspoint Christian School
617	Nelson High School
618	Caldera High School
62	Ione Charter School
63	Santiam Christian High School
631	Eugene Christian High School
639	Harvest Christian School
64	McKenzie High School
645	Riverside High School, WLWV
649	Northwest Christian Academy
65	Marshfield High School
66	Ontario High School
663	Tualatin Valley Academy
67	Joseph Charter School
673	Oaks Christian High School
68	Oregon City High School
69	Burnt River High School
7	Milwaukie High School
70	Camas Valley High School
71	Pacific High School
72	Roseburg High School
73	Umatilla High School
74	Monument High School
75	Columbia Christian High School
76	Canby High School
77	Butte Falls High School
78	Cascade Christian High School
79	Scappoose High School
8	Putnam High School
80	Falls City High School
81	Hood River Valley High School
83	Yamhill-Carlton High School
85	South Eugene High School
88	New Hope Christian High School
89	Parkrose High School
9	Sutherlin High School
90	North Clackamas Christian High School
91	Triangle Lake Charter School
92	Aloha High School
93	Sunset High School
94	Westview High School
95	Beaverton High School
96	Crane Union High School
97	Perrydale High School
98	Forest Grove High School
99	Seaside High School
